,Nom,Artiste,Genre,Annee,Paroles
333,"break up with your girlfriend, i'm bored",Ariana Grande,pop,2019,Unknown
334,Soltera - Remix,Lunay,latin,2019,"[Letra de ""Soltera""]      [Intro]   Lu-Lu-Lunay      [Pre-Coro]   Ella lo que quiere e' joder   vacilar   Solita pa' romper la disco   Ella lo que quiere e' joder   vacilar (Chi   chi   chi)   Dale hasta abajo   pata' abajo sin parar   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Coro]   Y estar soltera está de moda   Por eso ella no se enamora   Estar soltera está de moda   Por eso no va a cambiar (Ella no va a cambiar)   Estar soltera está de moda   Por eso ella no se enamora (¡Rra-rra!)   -Tar soltera está de moda (She)   Por eso no va a cam-cam-cambiar      [Verso 1]   Que nadie le reclame   Celu' en modo avión   no quiere que la llamen   Le da lo mismo que la quieran o la amen   Vacilar y joder   eso' son su plane'      [Puente]   Y por ahora eso no va a cambiar   Cero compromiso'   solo quiere bellaquear   Porque no quiere que nadie le vuelva a fallar   Beber y joder   no se va a amarrar   Y por ahora eso no va a cambiar   Cero compromiso'   solo quiere bellaquear   Porque no quiere que nadie le vuelva a fallar   Beber y joder   no se va a amarrar"
335,Light On,Maggie Rogers,pop,2019,"[Verse 1]   Would you believe me now if I told you I got caught up in a wave?   Almost gave it away   Would you hear me out if I told you I was terrified for days?   Thought I was gonna break         [Pre-Chorus 1]   Oh   I couldn't stop it   Tried to slow it all down   Crying in the bathroom   Had to figure it out   With everyone around me saying   ""You must be so happy now""   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus]   Oh   if you keep reaching out   Then I'll keep coming back   And if you're gone for good   Then I'm okay with that   If you leave the light on   Then I'll leave the light on (Light on   light on   light on)      And I am finding out   There's just no other way   That I'm still dancing at the end of the day      If you leave the light on   Then I'll leave the light on (Light on   light on   light on)      [Verse 2]   And do you believe me now that I always had the best intentions   babe?   Always wanted to stay   Can you feel me now that I'm vulnerable in oh-so-many ways?   Oh   and I'll never change      [Pre-Chorus 2]   Oh   I couldn't stop it   Tried to figure it out   But everything kept moving   And the noise got too loud   With everyone around me saying   ""You should be so happy now"""
336,Lost in the Fire (feat. The Weeknd),Gesaffelstein,pop,2019,[Verse 1]   I wanna fuck you slow with the lights on (Lights on   lights on   lights on)   You're the only one I've got my sights on (Sights on   sights on   sights on)   Type of sex you could never put a price on (Price on   price on   price on)   I'll take it off   you're the one I'll roll the dice on (Dice on   dice on   dice on)      And I just want a baby with the right one   (I just want a baby with the right—)   'Cause I could never be the one to hide one   (I could never be the one to hide—)         [Pre-Chorus]   And we lost a lot of things in the fire   So it took a year for me to find out (Find out   find out)      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus]   I can't lose you   babe (I can't lose you)   I can't lose you   babe (I can't lose you   babe)   I can't lose you   babe (I can't lose you   babe)   Oh-oh (Oh-oh)   I can't lose you   babe (I can't lose you)   I can't lose you   babe (I can't lose you   babe)   I can't lose you   babe   Oh-oh (Yeah)         [Verse 2]   I'm tired of being home alone (Home alone)   I used to have a girl a day (Girl a day)      But I want you to stay (I want you to stay   hey)   You said you might be into girls (Into girls)   Said you're going through a phase (Through a phase)      Keeping your heart safe (Keepin' your heart safe   oh)   Well   baby   you can bring a friend (Bring a friend)   She can ride on top your face (Top your face)   While I fuck you straight (While I fuck you straight   yeah)         [Pre-Chorus]   And we lost a lot of things in the fire (Fire)   So it took a year for me to find out (Find out   find out)         [Chorus]   I can't lose you   babe (I can't lose you)   I can't lose you   babe (I can't lose you   babe)   I can't lose you   babe (I can't lose you   babe)   Oh-oh (Oh-oh   oh-oh)   I can't lose you   babe (I can't lose you)   I can't lose you   babe (I can't lose you   babe)   I can't lose you   babe (I can't lose you   babe)   Oh-oh (Woah)
337,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,[Intro: PnB Rock]      Anything she needs   she can call me   Don't worry 'bout her   that's my seed   yup   that's all me   Just know   if you cross her   then you cross me      Cross me   cross me   if you   if you   if you   if you   It's FRED again      Anything she needs   she can call me   Don't worry about her   that's my seed   yup   that's all me   Just know   if you cross her   then you cross me   Cross me   cross me   if you   if   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 1: Ed Sheeran]   And she ain't messin' with no other man   And me and her have something different   I really need all you to understand   That nobody's comin' close   And I don't ever wanna run around   I spent my youth jumpin' in and out   But you know I fuckin' love her now   Like nobody ever could      [Refrain: Ed Sheeran]   And you know I stay trippin'   am I crazy? Oh   no   I'm stickin' with my baby   for sure   Together   or solo   It doesn't matter where we are   oh no   no   So   if you hear about my lady   just know   That she ain't the one to play with   oh no   And I'll be standin' so close   So you know that   ayy      [Pre-Chorus: PnB Rock]      Anything she needs   she can call me   Don't worry about her   that's my seed   yup   that's all me   Just know   if you cross her   then you cross me      Cross me   cross me   if you   if you   if you   if you
338,Suge,DaBaby,hip hop,2019,[Intro]   Pooh   you a fool for this one      Ha   Oh Lord   Jetson made another one         [Chorus]   Hah   Pack in the mail   it's gone (Uh)   She like how I smell   cologne (Yeah)   I just signed a deal   I'm on      Yeah   yeah   I go where I want   I'm good (Good)      Play if you want   let's do it (Ha)   I'm a young CEO   Suge (Yeah)   Yeah   yeah      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 1]   The first nigga play   I'ma body a nigga (Ha)   I just checked my balance   I'll probably pull up to your hood   And come buy me a nigga (No cap)   You know that your ho told you that nigga crazy   Don't think that she lied to you   nigga (Bitch)   Get caught with your ho when I'm poppin' 'em both   Now they high just like Bobby and Whitney (Haa)      Say I'm the goat   act like I don't know      But fuck it   I'm obviously winnin'   Don't make me go hit the bank and take out a hundred   To show you our pockets are different (Ha)   I'm out with your bitch and I only want knowledge   She got a lil' mileage   I'm chillin' (Uh)      You disrespect me and I'll beat your ass up   All in front of your partners and children (Ahh   ahh)   I'm the type to let a nigga think that I'm broke   Until I pop out with a million (I pop)   Take 20K and put that on your head   And make one of your partners come kill you (Yeah)   Say he fuckin' with me then he gotta grow up   'Cause this nigga gotta be kiddin' (Kiddin')      This shit   it can't fit in my pocket   I got it   like I hit the lottery   nigga (Hot   hot   hot)   Opp   I'll slap the shit out a nigga   No talkin'   I don't like to argue with niggas (I don't)   Ain't gon' be no more laughin'   You see me whip out 'cause I'm gon' be done shot me a nigga (No cap)   I don't follow no bitches on IG   But all of your bitches   they follow a nigga (Ha)      And that lil' nigga ain't gon' shoot shit with that gun   He just pull it out in his pictures (Bitch   uh)
339,Good as Hell,Lizzo,pop,2019,[Chorus]   I do my hair toss   check my nails      Baby   how you feelin'? (Feelin' good as hell)   Hair toss   check my nails   Baby   how you feelin'? (Feelin' good as hell)      [Verse 1]   Woo   child   tired of the bullshit   Go on   dust your shoulders off   keep it moving   Yes   Lord   tryna get some new shit   In there   swimwear   going-to-the-pool shit   Come now   come dry your eyes   You know you a star   you can touch the sky   I know that it's hard   but you have to try   If you need advice   let me simplify   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Pre-Chorus]   If he don't love you anymore   Just walk your fine ass out the door         [Chorus]   I do my hair toss   check my nails   Baby   how you feelin'? (Feelin' good as hell)   Hair toss   check my nails   Baby   how you feelin'? (Feelin' good as hell)   (Feeling good as hell)   Baby   how you feelin'? (Feelin' good as hell)         [Verse 2]   Woo   girl   need to kick off your shoes   Gotta take a deep breath   time to focus on you   All the big fights   long nights that you been through   I got a bottle of tequila I been saving for you   Boss up and change your life   You can have it all   no sacrifice   I know he did you wrong   we can make it right   So go and let it all hang out tonight      [Pre-Chorus]   'Cause he don't love you anymore   So walk your fine ass out the door
340,Look Back at It,A Boogie Wit da Hoodie,rap,2019,[Chorus]   Look back at it      She ain't never do this before   but she good at it   Said she never made love   but she good at it (She good at it)   She make a nigga feel good when I look at it (Yeah)   I get goosebumps when I look at it (Look at it)   Oh   girls just wanna have fun with it (Fun with it)   All the girls just wanna have fun with me (Fun with me)   These girls ain't really no good for me   yeah      [Post-Chorus]   Drrrat   da-da   da   Drrrat   da-da-da   da   Drrrat   da-da-um-da   Drrrat   da-da-da-um-da      Yeah   got a new Benz that I ain't promotin'   yeah   All of my friends love money throwin'   Drrrat   da-da-da-um-da   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 1]   Let me tell you something 'bout my life   And every single chain   and my diamond rings   The way you walkin'   the way you talkin'   it's all because of me   And the way I'm all on you   girl   you know it's true      The way I speak   it's my melody   Don't you ever think it's another me   Girl   on everything   it's a lot on me   I cannot be seen   I cannot be takin' apologies   Yeah   they plot on me   'cause that bag on me   Yeah   they after me   I got racks on me   Got the stash on me   think they gassin' me      Yeah   hoodie on low but I stay focused      Yeah   it's hard to stay low when everybody notice   yeah      [Chorus]   Look back at it   She ain't never do this before   but she good at it   Said she never made love   but she good at it   She make a nigga feel good when I look at it   I get goosebumps when I look at it   Oh   girls just wanna have fun with it   All the girls just wanna have fun with me   These girls ain't really no good for me   yeah      [Post-Chorus]   Drrrat   da-da   da   Drrrat   da-da-da   da   Drrrat   da-da-um-da   Drrrat   da-da-da-um-da      Yeah   got a new Benz that I ain't promotin'   yeah   All of my friends love money throwin'   Drrrat   da-da-da-um-da   Drrrat   da-da-um-da
341,Going Bad (feat. Drake),Meek Mill,hip hop,2019,"[Intro: Drake & Future]   Yeah   (Wheezy outta here)      Jeez   jeez         [Verse 1: Drake]   Back home   smokin' legal (Legal)      I got more slaps than The Beatles (Beatles)      Foreign shit runnin' on diesel   dawg      Playin' with my name   that shit is lethal   dawg (Who you say you was?)   Don Corleone      Trust me   at the top it isn't lonely (Strapped)   Everybody actin' like they know me   dawg      Don't just say you're down   you gotta show me (What you gotta do?)   Bring the clip back empty (It's empty)      You asked to see the boss   so they sent me   dawg (Sent me   dawg)   I just broke her off with a 10-piece   dawg (10-piece   dawg)   That ain't nothin'   I'm just bein' friendly   dawg      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus: Drake]   It's just a lil' 10-piece for her   Just to blow it in the mall   doesn't mean that we're involved   I just... what? I just... uh   put a Richard on the card      I ain't grow up playin' ball   but I'll show you how the fuck you gotta do it   If you really wanna ball 'til you fall   When your back against the wall   And a bunch of niggas need you to go away   Still goin' bad on 'em anyway   Saw you last night   but did it broad day      [Post-Chorus: Drake]   Yeah   lot of Murakami in the hallway (What?)      Got a sticky and I keep it at my dawg's place   Girl   I left your love at Magic   now it's all shade      Still goin' bad on you anyway      [Interlude: Meek Mill]   Woah   woah   ooh   woah   Woah   woah   ah      [Verse 2: Meek Mill]   I could fit like 80 racks in my Amiris (80 racks)      Me and Drizzy back-to-back   it's gettin' scary (Back-to-back)      If you fuckin' with my opps   just don't come near me (Get outta my way)   Put some bands all on your head like Jason Terry (Brrt   brrt   ooh)      Richard Mille cost a Lambo (That's a Lambo)      Known to keep the baddest bitches on commando (Salute)      Every time I'm in my trap   I move like Rambo (Extended)   Ain't a neighborhood in Philly that I can't go (That's a Fendi)      For real   She said   ""Oh   you rich rich?"" (""You rich rich"")   Bitch   I graduated   call me ""Big Fish"" (Marlin)      I got Lori Harvey on my wish list (That's Lori)      That's the only thing I want for Christmas (True story   uh)   I've been had my way out here   yeah   know that's facts (Facts)   You ain't livin' that shit you say   yeah   we know that's cap (That's cap)   You ain't got to ask me when you see me   know I'm strapped (Brrt)   DC   OVO   we back again   we goin' plat' (Ooh   ooh)"
342,gone girl,iann dior,rap,2019,[Intro: iann dior & Trippie Redd]   I fell in love   same time that you're fallin' (Yeah)      [Chorus: iann dior]   I fell in love   same time that you're fallin' apart      I should've known   thought I saw a sign in the stars      But I was wrong   fucking with you ain't last that long   Now you gone   now you gone   now you gone   girl      [Verse 1: iann dior]   Tell me what it is   made my heart break   Saying that it's me   but you know it ain't      Took a few pills   I can't feel a thing   Got me in my feels   sippin' on drank      Tryna keep it real   girl   you really ain't   You know what's the deal   you can't get a thing      Saying that it hurts   tryin' to the game   Saying I'm a joke   laughin' to the bank      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Pre-Chorus: iann dior]   I need your love   I need your touch   I need you right now   I need you right now         [Chorus: iann dior]   I fell in love   same time that you're fallin' apart      I should've known   thought I saw a sign in the stars      But I was wrong   fucking with you ain't last that long   Now you gone   now you gone   now you gone   girl      [Verse 2: Trippie Redd]   I just want the love   baby   not the lust   Caught up in a daze   man   I need your trust   All up in a maze   left you in the dust   Gone in a wraith   see the stars in a wraith      You see the stars in the day   bitch   Have you been to Mars on a date   bitch?   I can take yo ass to Mars in a day   bitch   I can take yo ass to Mars today   bitch   yeah      [Pre-Chorus: iann dior & Trippie Redd]   I need your love   I need your touch   I need you right now (Yeah)   I need you right now (Yeah)
343,How Do You Sleep?,Sam Smith,pop,2019,Unknown
344,Thotiana,Blueface,rap,2019,[Intro]   Blueface   baby   Yeah aight   Bust down   Thotiana   Yeah aight   I wanna see you bust down      [Chorus]   Bust down   Thotiana (Bust down   Thotiana)   I wanna see you bust down (Over)   Pick it up   now break that shit down (Break it down)   Speed it up   then slow that shit down   on the gang (Slow it down)   Bust it (Bust down)   bust down   bust it   bust it   Bust down   on the gang (Over)   Bust down   Thotiana (Bust down   Thotiana)   I wanna see you bust down (Over)   Pick it up   now break that shit down (Break it down)   Speed it up   now slow that shit down   on the gang (Slow it down)   Bust it (Bust down)   bust down   bust it   bust it   Bust down   on the gang (Over)      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse]   Blueface   baby   Yeah aight   I'm every woman's fantasy (Blueface   baby)      Mama always told me I was gon' break hearts   I guess it's her fault   stupid   don't be mad at me (Don't be mad at me)      I wanna see you bust down (Bust down)   Bend that shit over   on the gang (Yeah aight)   Make that shit clap      She threw it back so I had to double back   on the gang (On the gang)   Smackin'   high off them drugs (Off them drugs)   I tried tell myself two times was enough (Was enough)      Then a nigga relapsed   on the dead locs      Ain't no runnin'   Thotiana   you gon' take these damn strokes (Thotiana)   I beat the pussy up   now it's a murder scene   Keep shit player   Thotiana   like you ain't never even heard of me (Blueface   baby)      Bust down   Thotiana   I wanna see you bust down (Bust down)   Bend that shit over (Bend it over)   Yeah aight   now make that shit clap   on the gang (Make it clap)   Now toot that thing up (Toot it up)   Throw that shit back (Throw it back)   I need my extras   on the dead locs         [Chorus]   Bust down   Thotiana (Bust down   Thotiana)   I wanna see you bust down (Over)   Pick it up   now break that shit down (Break it down)   Speed it up   then slow that shit down   on the gang (Slow it down)   Bust it (Bust down)   bust down   bust it   bust it   Bust down   on the gang (Over)   Bust down   Thotiana (Bust down   Thotiana)   I wanna see you bust down (Over)   Pick it up   now break that shit down (Break it down)   Speed it up   now slow that shit down   on the gang (Slow it down)   Bust it (Bust down)   bust down   bust it   bust it   Bust down   on the gang (Over)
345,Pure Water (with Migos),Mustard,rap,2019,"Woo!   Y'all already know who I am? Right?   Mustard on the beat   ho   Let's go   Uh (woo   woo)   no Master P (ayy)   Ten bad bads and they after me (bad)   One bad battle like a masterpiece (uh)   Lookin' for a dunk   like a athlete (uh)   Big drip   what you call it? (big drip   yeah)   Ice chain   pure water (ice   ice   ice)   You got the cash   but can't afford 'em (cash   no)   You got the bag   but can't afford 'em (give me the bag)   Give me the beat   I ride it like a jetski (hey)   So many bad bads they harassin' me (bad)   Thеy like me 'cause I rap and bе with the athletes (athletes)   Stop askin' me (uh)   I know they mad at me (nah)   Hop in the coupe   then I slide like it's Vaseline (skrrt   skrrt)   West coast 6-4 jump like a trampoline (6-4)   Take a brick out   put it on a triple beam (brick out)   I'm not from Canada   but I see a lot of tings (Canada)   Dismantle her   I know how to handle her (woo   hey)   Light the candle up   make you put a banner up (up   up)   Toss a 50 up   make 'em tear the club up (tear the club up)   Took your out the game   I had to sub her (swap   swap   here we go)   Uh (woo   woo)   no Master P (ayy)   Ten bad bads and they after me (bad)   One bad battle look like a masterpiece (uh)   Lookin' for a dunk   like a athlete (uh   woo)   Big drip   what you call it? (big drip   big drip   yeah)   Ice chain   pure water (ice   ice   ice)   You got the cash   but can't afford 'em (hey   cash)   You got the bag but can't afford 'em (woo   woo   woo)   Offset!   Pimpin' ain't easy   make her open up and eat it (eat it)   Stars in the ceilin' and my seats   they Tempur-Pedic (hey   hey)   I see them diggaz watchin' and they plottin'   tryna sneak me (plot)   I can't hit a thot   can't trust a thot   they tellin' secrets (thot   no)   Big bank take lil' bank   lil' digga (cash)   Catch him down bad   that digga cry a whole river (hey)   Nawf on my back   I'm takin' care of the whole village (nawf)   Somebody got shot   what you talkin' 'bout   Willis? (who?)   In the lobby with a brick   I'm Ricky Bobby with your bitch   I go Lawrence with the fit   in the 'Rari with no tint ('Rari   drip   drip)   I'm from the trench   I got the dirty money rinsed (oh)   You was poppin' so I popped and prayed to God   repent (oh   oh   oh   let's go)   Uh (woo   woo)   no Master P (ayy)   Ten bad bads and they after me (bad)   One bad battle look like a masterpiece (uh)   Lookin' for a dunk   like a athlete (uh   woo)   Big drip   what you call it? (big drip   yeah)   Ice chain   pure water (ice   ice   ice)   You got the cash   but can't afford 'em (cash   no)   You got the bag but can't afford 'em   T-Takeoff   no limit to the money (money   nah)   I picked the gang up   took a flight across the country ('cross the country   where?)   I tipped the waitress   told her   ""Keep the ones comin'""   Hit the store to get some Backwoods and left the Wraith runnin'   get it   Lookin' like they plottin'   but we already on it (on it)   In the lab with Celine like that bag that she wanted (Celine)   A lot of tings   there bustin' out them jeans   make you want it (ting)   Make you wanna spend a 50   hit the scene with her   don't it? (scene)   Whole team full of queens   gotta keep their eyes on me (queen)   It's a snake in disguise   prolly wanna slide on me (slide)   I bet they ride on 'em when I put that prize on 'em (prize)   Ten bad bads   rotate 'em   got five of 'em (five)   Uh (woo   woo)   no Master P (ayy)   Ten bad bads and they after me (bad)   One bad battle look like a masterpiece (uh)   Lookin' for a dunk   like a athlete (uh)   Big drip   what you call it? (big drip   yeah)   Ice chain   pure water (ice   ice   ice)   You got the cash   but can't afford 'em (cash   no)   You got the bag but can't afford 'em   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Two-step (oh   yeah   uh   oh   yeah)   Goodnight"
346,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,rap,2019,[Intro: A Boogie wit da Hoodie & Skooly]   Uh   Yeah   Oh   that's London On Da Track   run that shit back   We got London On Da Track      [Chorus: A Boogie wit da Hoodie]   Swervin’   How you look so perfect on your worst days?   Double C your purses   you deserve it      Niggas in your DM   they be thirsty (Thirsty)   and in person   But you're curvin'   Curvy little body   love your surface (Surface)   Yeah   I’m all on your body   make you nervous   I like the way you keep up with your earnings   Yeah   it's okay   'cause you swervin'   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 1: A Boogie wit da Hoodie]   I fuck you from the back and leave you turnin' (Turnin')   The type to make you feel like I'm so worth it (Worth it)   Blame my ex   that bitch   she did me dirty (Did me dirty)   Had me fall in love and then she curved me   (on God   swear to God   I don't wanna leave you   no)   New Louboutin   you would think I’m bleedin’ from my toes      Dick all inside of you   make you freeze   make you pose   I want you to get up on your knees and your toes   I see one of my enemies   they gon' freeze like they cold   I swear I ain’t no killer   but test me if you want   You don't want my adrenaline rushin'   leave me alone (Leave me alone)   So much shit up on my mind   I can't think   yeah   All my niggas rock designer like they scream (Grrat)      Got the AP covered   diamonds with baguettes   yeah      I thought everything was right   that’s when you left   yeah      [Chorus: A Boogie wit da Hoodie]   Swervin' (Swervin')   How you look so perfect on your worst days? (Worst days)   Double C your purses   you deserve it   Niggas in your DM   they be thirsty (Thirsty)   and in person (Person)   But you're curvin'   Curvy little body   love your surface (Surface)   Yeah   I'm all on your body   make you nervous   I like the way you keep up with your earnings   Yeah   it's okay   you be swervin'
347,Money In The Grave (Drake ft. Rick Ross),Drake,hip hop,2019,"[Intro: Drake]   Yeah   okay   Lil CC on the beat   mmm   Yeah   yeah         [Verse 1: Drake]   I mean   where the fuck should I really even start?   I got hoes that I'm keepin' in the dark      I got my niggas 'cross the street livin' large      Thinkin' back to the fact that they dead      Thought my raps wasn't facts 'til they sat with the bars      I got two phones   one need a charge      Yeah   they twins   I could tell they ass apart      I got big packs comin' on the way   I got big stacks comin' out the safe   I got Lil Max with me   he the wave      It's a big gap between us in the game   In the next life   I'm tryna stay paid   When I die   put my money in the grave      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus: Drake]   When I die   put my money in the grave      I really gotta put a couple niggas in they place   Really just lapped every nigga in the race      I really might tat ""Realest Nigga"" on my face      Lil CC let it slap with the bass      I used to save hoes with a mask and a cape   Now I'm like   ""Nah   love   I'm good   go away""      Ain't about to die with no money   I done gave it      [Verse 2: Drake]   I was on top when that shit meant a lot   Still on top like I'm scared of the drop   Still on top and these niggas wanna swap   Niggas wanna swap like it's Slauson or Watts      I don't wanna change 'cause I'm good where I'm at   Mob ties   so I'm always good where I'm at   Word to Junior   Jazzy   Baby J      Tell 'em when I die   put my money in the grave      [Verse 3: Rick Ross]   Couple figures   killers call and collect (Collect)   She fuck a nigga   then she on to the next (Next)   Really livin' large   she in awe with a mack   When you niggas thinkin' small in the mall with a rat (Rat)      Roll with us if you really wanna get it (Get it)   Go get a half a million in the Sprinter (Sprinter)   Phone ringin'   bitches know a big tipper (Tipper)   I got the hookup and there's really no limit (Limit)      Dead broke is in you nigga DNA (DNA)   Rickey Smiley's in Decatur with the yé   Lil' nigga   just another state case      Bury my motherfuckin' Chase Bank   time to bounce (Bounce)      Gotta count on my allowance (Gotta count on my allowance)   You niggas snitches so I gotta reroute it (So I gotta reroute it)   A nigga drippin' like I got a zillion dollars   Got the trap jumpin' like Zion when I rebound it   Then I'm out (Then I'm out)      And I'll never talk about it (About it)   The homies quiet   but we all smoke the loudest (Loudest)      Rich niggas and I'm really bein' modest      'Cause the way I do my deals   never treated like a artist   Want the house (House)   You could DM my accountant   My per diem six figures and I'm countin'      Nine figures was the goal 'til I hit it      These niggas ain't livin'   so bury mine with me   Ross got it (Maybach Music)"
348,"thank u, next",Ariana Grande,pop,2019,Unknown
349,"10,000 Hours (with Justin Bieber)",Dan + Shay,country,2019,Unknown
350,God's Plan,Drake,hip hop,2018,Unknown
351,rockstar (feat. 21 Savage),Post Malone,rap,2018,"[Intro: Post Malone]   Hahahahaha      Tank God      Ayy   ayy      [Chorus: Post Malone]   I've been fuckin' hoes and poppin' pillies   Man   I feel just like a rockstar (Star   ayy   ayy)      All my brothers got that gas   And they always be smokin' like a Rasta ('Sta)      Fuckin' with me   call up on a Uzi   And show up   man   them the shottas ('Tas)   When my homies pull up on your block   They make that thing go grrra-ta-ta-ta (Ta   pow   pow   pow   ayy   ayy)      Maiya The Don 'Telfy' Official Lyrics & Meaning | Verified                                 [Verse 1: Post Malone]   Switch my whip   came back in black   I'm startin' sayin'   ""Rest in peace to Bon Scott"" (Scott   ayy)      Close that door   we blowin' smoke   She ask me light a fire like I'm Morrison ('Son   ayy)   Act a fool on stage   Prolly leave my fuckin' show in a cop car (Car   ayy)      Shit was legendary   Threw a TV out the window of the Montage      Cocaine on the table   liquor pourin'   don't give a damn      Dude   your girlfriend is a groupie   she just tryna get in   Sayin'   ""I'm with the band"" (Ayy   ayy)   Now she actin' outta pocket   tryna grab up on my pants   Hundred bitches in my trailer say they ain't got a man   And they all brought a friend (Yeah   ayy   ayy   ayy)         [Chorus: Post Malone]   I've been fuckin' hoes and poppin' pillies   Man   I feel just like a rockstar (Star   ayy   ayy)      All my brothers got that gas   And they always be smokin' like a Rasta ('Sta)      Fuckin' with me   call up on a Uzi   And show up   man   them the shottas ('Tas)   When my homies pull up on your block   They make that thing go grrra-ta-ta-ta (Ta   pow   pow   pow)"
352,Natural,Imagine Dragons,rock,2018,[Verse 1]   Will you hold the line   When every one of them has given up and given in? Tell me   In this house of mine   Nothing ever comes without a consequence or cost   tell me      Will the stars align?   Will Heaven step in? Will it save us from our sin? Will it?   'Cause this house of mine stands strong         [Pre-Chorus]   That's the price you pay   Leave behind your heart and cast away   Just another product of today   Rather be the hunter than the prey      And you're standing on the edge   face up 'cause you're a      Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified                                 [Chorus]   Natural   A beating heart of stone   You gotta be so cold   To make it in this world   Yeah   you're a natural   Living your life cutthroat   You gotta be so cold   Yeah   you're a natural         [Verse 2]   Will somebody   Let me see the light within the dark trees shadowing?   What's happenin'?   Lookin' through the glass   find the wrong within the past knowin'   Oh   we are the youth   Cut until it bleeds inside a world without the peace   facing   A bit of the truth   the truth         [Pre-Chorus]   That's the price you pay   Leave behind your heart and cast away   Just another product of today   Rather be the hunter than the prey      And you're standing on the edge   face up 'cause you're a
353,The Greatest Show,Various Artists,pop,2018,[Verse 1: Scott]   (Whoa)   Ladies and gents   this is the moment you've waited for (Whoa)   You've been searchin' in the dark   Your sweat soakin' through the floor (Whoa)   And buried in your bones   there's an ache that you can't ignore   Takin' your breath   stealing your mind   And all that was real is left behind      [Pre-Chorus 1: Scott]   Don't fight it   it's comin' for you   runnin' at ya   It's only this moment   don't care what comes after   Your fever dream   can't you see it gettin' closer?   Just surrender 'cause you feel the feelin' takin' over   It's fire   it's freedom   it's floodin' open   It's the preacher in the pulpit and your blind devotion   There's somethin' breakin' at the brick of every wall   It's holdin' all that you know   so tell me do you wanna go?   Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Chorus 1: Pentatonix]   Where it's covered in all the colored lights   Where the runaways are runnin' the night   Impossible comes true   it's takin' over you   Oh   this is the greatest show   We light it up   we won't come down   And the sun can't stop us now   Watchin' it come true   it's takin' over you   Oh   this is the greatest show      [Verse 2: Scott]   (Whoa)   Colossal we come these renegades in the ring (Whoa)   Where the lost get found   and we crown 'em the circus kings      [Pre-Chorus 2: Scott]   Don't fight it   it's comin' for you   runnin' at ya   It's only this moment   don't care what comes after   It's blindin'   outshinin' anything that you know   Just surrender 'cause you're callin' and you wanna go      [Chorus 2: Pentatonix]   Where it's covered in all the colored lights   Where the runaways are runnin' the night   Impossible comes true   it's takin' over you   Oh   this is the greatest show   We light it up   we won't come down   And the sun can't stop us now   Watchin' it come true   it's takin' over you   Oh   this is the greatest show
354,Sick Boy,The Chainsmokers,pop,2018,[Verse 1]   I'm from the east side of America   Where we choose pride over character      And we can pick sides   but this is us   this is us   this is      I live on the west side of America      Where they spin lies into fairy dust      And we can pick sides   but this is us   this is us   this is         [Refrain]   And don't believe the narcissism   When everyone projects and expects you to listen to 'em      Make no mistake   I live in a prison   That I built myself   it is my religion      And they say that I am the sick boy      Easy to say when you don't take the risk   boy   Welcome to the narcissism   Yeah   we're united under our indifference      Coco Jones 'ICU' (Live Performance) | Open Mic                                 [Verse 2]   And I'm from the east side of America   Where we desensitize by hysteria      And we can pick sides   but this is us   this is us   this is      I live on the west side of America      Where they spin lies into fairy dust   And we can pick sides   but this is us   this is us   this is         [Chorus]   I am the   I am the   I am the sick boy   I am the   I am the   I am the sick boy   (I'm from the east side of America)   They say that I am the sick boy   (I live on the west side of America)   And they call me the sick boy         [Refrain]   Don't believe the narcissism   When everyone projects and expects you to listen to 'em   Make no mistake   I live in a prison   That I built myself   it is my religion      And they say that I am the sick boy      Easy to say when you don't take the risk   boy   Welcome to the narcissism   Where we're united under our indifference
